subject,block,trial,algo,task,leaf,regret,correct,task_change,task_span,task_angle,task_euclid,task_manhattan,feature_change,feature_angle,feature_euclid,feature_manhattan,max_value_diff,possible_correct,mean_block_regret,mean_block_correct
0,1,0,uvfa,0,11,14.0,False,False,0,0.6666666666666666,0.0,0,False,1.0,11.704699910719626,17.0,20.0,1,7.64,0.42
0,1,0,uvfa,0,11,14.0,False,False,0,0.6666666666666666,0.0,0,False,1.0,11.704699910719626,17.0,20.0,1,7.64,0.42
0,1,0,uvfa,0,11,14.0,False,False,0,0.6666666666666666,0.0,0,False,1.0,11.704699910719626,17.0,20.0,1,7.64,0.42
0,1,1,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,False,1.1102230246251565e-16,0.0,0.0,20.0,1,7.64,0.42
0,1,1,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,False,1.1102230246251565e-16,0.0,0.0,20.0,1,7.64,0.42
0,1,1,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,False,1.1102230246251565e-16,0.0,0.0,20.0,1,7.64,0.42
0,1,2,uvfa,0,9,4.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,1,7.64,0.42
0,1,2,uvfa,0,9,4.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,1,7.64,0.42
0,1,2,uvfa,0,9,4.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,1,7.64,0.42
0,1,3,uvfa,1,11,19.0,False,False,0,0.6666666666666666,0.0,0,False,1.0,11.704699910719626,17.0,20.0,1,7.64,0.42
0,1,3,uvfa,1,11,19.0,False,False,0,0.6666666666666666,0.0,0,False,1.0,11.704699910719626,17.0,20.0,1,7.64,0.42
0,1,3,uvfa,1,11,19.0,False,False,0,0.6666666666666666,0.0,0,False,1.0,11.704699910719626,17.0,20.0,1,7.64,0.42
0,1,4,uvfa,0,9,4.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,1,7.64,0.42
0,1,4,uvfa,0,9,4.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,1,7.64,0.42
0,1,4,uvfa,0,9,4.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,1,7.64,0.42
0,1,5,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,False,1.1102230246251565e-16,0.0,0.0,20.0,1,7.64,0.42
0,1,5,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,False,1.1102230246251565e-16,0.0,0.0,20.0,1,7.64,0.42
0,1,5,uvfa,1,8,0.0,True,False,0,0.6666666666666666,0.0,0,False,1.1102230246251565e-16,0.0,0.0,20.0,1,7.64,0.42
0,1,6,uvfa,0,11,14.0,False,False,0,0.6666666666666666,0.0,0,False,1.0,11.704699910719626,17.0,20.0,1,7.64,0.42
0,1,6,uvfa,0,11,14.0,False,False,0,0.6666666666666666,0.0,0,False,1.0,11.704699910719626,17.0,20.0,1,7.64,0.42
0,1,6,uvfa,0,11,14.0,False,False,0,0.6666666666666666,0.0,0,False,1.0,11.704699910719626,17.0,20.0,1,7.64,0.42
0,1,7,uvfa,1,11,19.0,False,False,0,0.6666666666666666,0.0,0,False,1.0,11.704699910719626,17.0,20.0,1,7.64,0.42
0,1,7,uvfa,1,11,19.0,False,False,0,0.6666666666666666,0.0,0,False,1.0,11.704699910719626,17.0,20.0,1,7.64,0.42
0,1,7,uvfa,1,11,19.0,False,False,0,0.6666666666666666,0.0,0,False,1.0,11.704699910719626,17.0,20.0,1,7.64,0.42
0,1,8,uvfa,0,9,4.0,False,False,0,0.6666666666666666,0.0,0,False,0.0,0.0,0.0,20.0,1,7.64,0.42
