,subject,block,trial,task,algo,leaf,regret,correct,task_change,task_span,task_angle,task_euclid,task_manhattan,feature_change,feature_angle,feature_euclid,feature_manhattan,max_value_diff,mean_block_regret,mean_block_correct
1,0,1,0,0,uvfa,12,8.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,20.0,7.16,0.23
1,0,1,1,1,uvfa,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,20.0,7.16,0.23
1,0,1,2,0,uvfa,5,10.0,False,False,0,1.0,0.0,0,False,1.0,10.04987562112089,11.0,20.0,7.16,0.23
1,0,1,3,1,uvfa,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,20.0,7.16,0.23
1,0,1,4,0,uvfa,5,10.0,False,False,0,1.0,0.0,0,False,1.0,10.04987562112089,11.0,20.0,7.16,0.23
1,0,1,5,1,uvfa,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,20.0,7.16,0.23
1,0,1,6,0,uvfa,5,10.0,False,False,0,1.0,0.0,0,False,1.0,10.04987562112089,11.0,20.0,7.16,0.23
1,0,1,7,1,uvfa,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,20.0,7.16,0.23
1,0,1,8,0,uvfa,5,10.0,False,False,0,1.0,0.0,0,False,1.0,10.04987562112089,11.0,20.0,7.16,0.23
1,0,1,9,1,uvfa,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,20.0,7.16,0.23
2,0,2,0,0,uvfa,6,9.0,False,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,6.16,0.32
2,0,2,1,1,uvfa,6,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,6.16,0.32
2,0,2,2,0,uvfa,7,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,6.16,0.32
2,0,2,3,1,uvfa,9,14.0,False,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,6.16,0.32
2,0,2,4,0,uvfa,7,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,6.16,0.32
2,0,2,5,1,uvfa,10,4.0,False,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,6.16,0.32
2,0,2,6,0,uvfa,7,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,6.16,0.32
2,0,2,7,1,uvfa,10,4.0,False,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,6.16,0.32
2,0,2,8,0,uvfa,7,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,6.16,0.32
2,0,2,9,1,uvfa,10,4.0,False,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,6.16,0.32
3,0,3,0,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,20.0,1.82,0.39
3,0,3,1,1,uvfa,10,4.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,20.0,1.82,0.39
3,0,3,2,0,uvfa,7,1.0,False,False,0,1.0,0.0,0,False,0.7178617536565607,14.491376746189438,22.0,20.0,1.82,0.39
3,0,3,3,1,uvfa,9,14.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,20.0,1.82,0.39
3,0,3,4,0,uvfa,6,1.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,20.0,1.82,0.39
3,0,3,5,1,uvfa,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,20.0,1.82,0.39
3,0,3,6,0,uvfa,7,1.0,False,False,0,1.0,0.0,0,False,0.7178617536565607,14.491376746189438,22.0,20.0,1.82,0.39
3,0,3,7,1,uvfa,9,14.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,20.0,1.82,0.39
3,0,3,8,0,uvfa,4,2.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,20.0,1.82,0.39
3,0,3,9,1,uvfa,10,4.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,20.0,1.82,0.39
4,0,4,0,0,uvfa,7,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,1.47,0.75
4,0,4,1,1,uvfa,10,4.0,False,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,1.47,0.75
4,0,4,2,0,uvfa,7,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,1.47,0.75
4,0,4,3,1,uvfa,6,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,1.47,0.75
4,0,4,4,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,0.7178617536565607,13.92838827718412,20.0,20.0,1.47,0.75
4,0,4,5,1,uvfa,7,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,1.47,0.75
4,0,4,6,0,uvfa,7,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,1.47,0.75
4,0,4,7,1,uvfa,10,4.0,False,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,1.47,0.75
4,0,4,8,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,0.7178617536565607,13.92838827718412,20.0,20.0,1.47,0.75
4,0,4,9,1,uvfa,10,4.0,False,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,1.47,0.75
5,0,5,0,0,uvfa,5,1.0,False,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,2.07,0.67
5,0,5,1,1,uvfa,10,4.0,False,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,2.07,0.67
5,0,5,2,0,uvfa,6,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,2.07,0.67
5,0,5,3,1,uvfa,10,4.0,False,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,2.07,0.67
5,0,5,4,0,uvfa,6,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,2.07,0.67
5,0,5,5,1,uvfa,7,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,2.07,0.67
5,0,5,6,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,2.07,0.67
5,0,5,7,1,uvfa,6,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,2.07,0.67
5,0,5,8,0,uvfa,6,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,2.07,0.67
5,0,5,9,1,uvfa,10,4.0,False,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,2.07,0.67
6,0,6,0,0,uvfa,8,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,20.0,1.54,0.71
6,0,6,1,1,uvfa,7,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,20.0,1.54,0.71
6,0,6,2,0,uvfa,10,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,20.0,1.54,0.71
6,0,6,3,1,uvfa,7,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,20.0,1.54,0.71
6,0,6,4,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,20.0,1.54,0.71
6,0,6,5,1,uvfa,10,4.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,20.0,1.54,0.71
6,0,6,6,0,uvfa,10,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,20.0,1.54,0.71
6,0,6,7,1,uvfa,7,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,20.0,1.54,0.71
6,0,6,8,0,uvfa,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,20.0,1.54,0.71
6,0,6,9,1,uvfa,10,4.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,20.0,1.54,0.71
7,0,7,0,0,uvfa,7,9.0,False,False,0,1.0,0.0,0,False,0.28630192657829534,10.04987562112089,17.0,19.0,0.86,0.81
7,0,7,1,1,uvfa,10,0.0,True,False,0,1.0,0.0,0,False,1.0,1.4142135623730951,2.0,19.0,0.86,0.81
7,0,7,2,0,uvfa,8,0.0,True,False,0,1.0,0.0,0,False,0.29289321881345254,13.45362404707371,19.0,19.0,0.86,0.81
7,0,7,3,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.7178617536565607,13.92838827718412,20.0,19.0,0.86,0.81
7,0,7,4,0,uvfa,8,0.0,True,False,0,1.0,0.0,0,False,0.29289321881345254,13.45362404707371,19.0,19.0,0.86,0.81
7,0,7,5,1,uvfa,6,0.0,True,False,0,1.0,0.0,0,False,0.7178617536565607,13.92838827718412,20.0,19.0,0.86,0.81
7,0,7,6,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.7178617536565607,13.92838827718412,20.0,19.0,0.86,0.81
