,subject,block,trial,task,algo,leaf,regret,correct,task_change,task_span,task_angle,task_euclid,task_manhattan,feature_change,feature_angle,feature_euclid,feature_manhattan,max_value_diff,mean_block_regret,mean_block_correct
1,0,1,0,0,uvfa,7,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,3.5,0.63
1,0,1,1,1,uvfa,7,8.0,False,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,3.5,0.63
1,0,1,2,0,uvfa,7,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,3.5,0.63
1,0,1,3,1,uvfa,7,8.0,False,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,3.5,0.63
1,0,1,4,0,uvfa,7,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,3.5,0.63
1,0,1,5,1,uvfa,7,8.0,False,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,3.5,0.63
1,0,1,6,0,uvfa,7,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,3.5,0.63
1,0,1,7,1,uvfa,7,8.0,False,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,3.5,0.63
1,0,1,8,0,uvfa,7,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,3.5,0.63
1,0,1,9,1,uvfa,7,8.0,False,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,3.5,0.63
2,0,2,0,0,uvfa,7,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,5.06,0.4
2,0,2,1,1,uvfa,7,8.0,False,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,5.06,0.4
2,0,2,2,0,uvfa,5,8.0,False,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,5.06,0.4
2,0,2,3,1,uvfa,9,8.0,False,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,5.06,0.4
2,0,2,4,0,uvfa,5,8.0,False,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,5.06,0.4
2,0,2,5,1,uvfa,4,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,5.06,0.4
2,0,2,6,0,uvfa,7,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,5.06,0.4
2,0,2,7,1,uvfa,7,8.0,False,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,5.06,0.4
2,0,2,8,0,uvfa,5,8.0,False,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,5.06,0.4
2,0,2,9,1,uvfa,4,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,5.06,0.4
3,0,3,0,0,uvfa,5,8.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,21.0,5.68,0.32
3,0,3,1,1,uvfa,10,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,21.0,5.68,0.32
3,0,3,2,0,uvfa,5,8.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,21.0,5.68,0.32
3,0,3,3,1,uvfa,10,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,21.0,5.68,0.32
3,0,3,4,0,uvfa,5,8.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,21.0,5.68,0.32
3,0,3,5,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,21.0,5.68,0.32
3,0,3,6,0,uvfa,5,8.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,21.0,5.68,0.32
3,0,3,7,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,21.0,5.68,0.32
3,0,3,8,0,uvfa,5,8.0,False,False,0,1.0,0.0,0,False,0.0,0.0,0.0,21.0,5.68,0.32
3,0,3,9,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,21.0,5.68,0.32
4,0,4,0,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,21.0,1.1,0.77
4,0,4,1,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,21.0,1.1,0.77
4,0,4,2,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,21.0,1.1,0.77
4,0,4,3,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,21.0,1.1,0.77
4,0,4,4,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,21.0,1.1,0.77
4,0,4,5,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,21.0,1.1,0.77
4,0,4,6,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,21.0,1.1,0.77
4,0,4,7,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,21.0,1.1,0.77
4,0,4,8,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,21.0,1.1,0.77
4,0,4,9,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,21.0,1.1,0.77
5,0,5,0,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,0.99,0.73
5,0,5,1,1,uvfa,7,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,0.99,0.73
5,0,5,2,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,0.99,0.73
5,0,5,3,1,uvfa,7,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,0.99,0.73
5,0,5,4,0,uvfa,10,1.0,False,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,0.99,0.73
5,0,5,5,1,uvfa,10,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,0.99,0.73
5,0,5,6,0,uvfa,7,2.0,False,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,0.99,0.73
5,0,5,7,1,uvfa,7,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,0.99,0.73
5,0,5,8,0,uvfa,9,10.0,False,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,0.99,0.73
5,0,5,9,1,uvfa,10,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,21.0,0.99,0.73
6,0,6,0,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.7178617536565607,13.92838827718412,20.0,21.0,1.99,0.61
6,0,6,1,1,uvfa,10,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,22.0,1.99,0.61
6,0,6,2,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.7178617536565607,13.92838827718412,20.0,21.0,1.99,0.61
6,0,6,3,1,uvfa,10,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,22.0,1.99,0.61
6,0,6,4,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.7178617536565607,13.92838827718412,20.0,21.0,1.99,0.61
6,0,6,5,1,uvfa,10,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,22.0,1.99,0.61
6,0,6,6,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.7178617536565607,13.92838827718412,20.0,21.0,1.99,0.61
6,0,6,7,1,uvfa,7,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,22.0,1.99,0.61
6,0,6,8,0,uvfa,8,0.0,True,False,0,1.0,0.0,0,False,1.1102230246251565e-16,0.0,0.0,21.0,1.99,0.61
6,0,6,9,1,uvfa,10,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,22.0,1.99,0.61
7,0,7,0,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,0.7178617536565607,13.92838827718412,20.0,20.0,1.59,0.84
7,0,7,1,1,uvfa,7,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,1.59,0.84
7,0,7,2,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,0.7178617536565607,13.92838827718412,20.0,20.0,1.59,0.84
7,0,7,3,1,uvfa,10,0.0,True,False,0,1.0,0.0,0,True,1.0,1.4142135623730951,2.0,20.0,1.59,0.84
7,0,7,4,0,uvfa,6,0.0,True,False,0,1.0,0.0,0,True,0.7178617536565607,13.92838827718412,20.0,20.0,1.59,0.84
7,0,7,5,1,uvfa,4,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,1.59,0.84
7,0,7,6,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,0.7178617536565607,13.92838827718412,20.0,20.0,1.59,0.84
7,0,7,7,1,uvfa,7,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,1.59,0.84
7,0,7,8,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,0.7178617536565607,13.92838827718412,20.0,20.0,1.59,0.84
7,0,7,9,1,uvfa,7,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,20.0,1.59,0.84
8,0,8,0,0,uvfa,4,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,6.0,0.08,0.99
8,0,8,1,1,uvfa,10,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,6.0,0.08,0.99
8,0,8,2,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,6.0,0.08,0.99
8,0,8,3,1,uvfa,10,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,6.0,0.08,0.99
8,0,8,4,0,uvfa,4,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,6.0,0.08,0.99
8,0,8,5,1,uvfa,10,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,6.0,0.08,0.99
8,0,8,6,0,uvfa,6,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,6.0,0.08,0.99
8,0,8,7,1,uvfa,7,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,6.0,0.08,0.99
8,0,8,8,0,uvfa,10,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,6.0,0.08,0.99
8,0,8,9,1,uvfa,4,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,6.0,0.08,0.99
9,0,9,0,0,uvfa,7,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.55,0.95
9,0,9,1,1,uvfa,4,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.55,0.95
9,0,9,2,0,uvfa,7,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.55,0.95
9,0,9,3,1,uvfa,4,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.55,0.95
9,0,9,4,0,uvfa,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.55,0.95
9,0,9,5,1,uvfa,4,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.55,0.95
9,0,9,6,0,uvfa,7,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.55,0.95
9,0,9,7,1,uvfa,10,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.55,0.95
9,0,9,8,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.55,0.95
9,0,9,9,1,uvfa,4,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.55,0.95
10,0,10,0,0,uvfa,7,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.78,0.93
10,0,10,1,1,uvfa,10,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.78,0.93
10,0,10,2,0,uvfa,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.78,0.93
10,0,10,3,1,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.78,0.93
10,0,10,4,0,uvfa,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.78,0.93
10,0,10,5,1,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.78,0.93
10,0,10,6,0,uvfa,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.78,0.93
10,0,10,7,1,uvfa,10,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.78,0.93
10,0,10,8,0,uvfa,7,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.78,0.93
10,0,10,9,1,uvfa,7,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.78,0.93
11,0,11,0,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.4,0.96
11,0,11,1,1,uvfa,7,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.4,0.96
11,0,11,2,0,uvfa,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.4,0.96
11,0,11,3,1,uvfa,7,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.4,0.96
11,0,11,4,0,uvfa,6,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.4,0.96
11,0,11,5,1,uvfa,7,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.4,0.96
11,0,11,6,0,uvfa,10,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.4,0.96
11,0,11,7,1,uvfa,7,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.4,0.96
11,0,11,8,0,uvfa,10,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.4,0.96
11,0,11,9,1,uvfa,7,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.4,0.96
12,0,12,0,0,uvfa,10,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,1.0,0.91
12,0,12,1,1,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,1.0,0.91
12,0,12,2,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,1.0,0.91
12,0,12,3,1,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,1.0,0.91
12,0,12,4,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,1.0,0.91
12,0,12,5,1,uvfa,10,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,1.0,0.91
12,0,12,6,0,uvfa,4,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,1.0,0.91
12,0,12,7,1,uvfa,10,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,1.0,0.91
12,0,12,8,0,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,1.0,0.91
12,0,12,9,1,uvfa,10,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,1.0,0.91
13,0,13,0,0,uvfa,4,1.0,False,False,0,1.0,0.0,0,False,0.1425070742874559,10.816653826391969,15.0,9.0,2.51,0.29
13,0,13,1,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,8.0,8.0,15.0,2.51,0.29
13,0,13,2,0,uvfa,7,1.0,False,False,0,1.0,0.0,0,False,0.1425070742874559,10.816653826391969,15.0,9.0,2.51,0.29
13,0,13,3,1,uvfa,10,7.0,False,False,0,1.0,0.0,0,False,0.1425070742874559,10.816653826391969,15.0,15.0,2.51,0.29
13,0,13,4,0,uvfa,7,1.0,False,False,0,1.0,0.0,0,False,0.1425070742874559,10.816653826391969,15.0,9.0,2.51,0.29
13,0,13,5,1,uvfa,7,7.0,False,False,0,1.0,0.0,0,False,0.1425070742874559,10.816653826391969,15.0,15.0,2.51,0.29
13,0,13,6,0,uvfa,4,1.0,False,False,0,1.0,0.0,0,False,0.1425070742874559,10.816653826391969,15.0,9.0,2.51,0.29
13,0,13,7,1,uvfa,10,7.0,False,False,0,1.0,0.0,0,False,0.1425070742874559,10.816653826391969,15.0,15.0,2.51,0.29
13,0,13,8,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,8.0,8.0,9.0,2.51,0.29
13,0,13,9,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,8.0,8.0,15.0,2.51,0.29
14,0,14,0,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,6.0,0.84,0.7
14,0,14,1,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,6.0,0.84,0.7
14,0,14,2,0,uvfa,6,1.0,False,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.84,0.7
14,0,14,3,1,uvfa,7,7.0,False,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.84,0.7
14,0,14,4,0,uvfa,6,1.0,False,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.84,0.7
14,0,14,5,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,6.0,0.84,0.7
14,0,14,6,0,uvfa,7,1.0,False,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.84,0.7
14,0,14,7,1,uvfa,9,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,6.0,0.84,0.7
14,0,14,8,0,uvfa,7,1.0,False,False,0,1.0,0.0,0,True,1.1102230246251565e-16,0.0,0.0,6.0,0.84,0.7
14,0,14,9,1,uvfa,9,0.0,True,False,0,1.0,0.0,0,True,0.0,0.0,0.0,6.0,0.84,0.7
15,0,15,0,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.76,0.66
15,0,15,1,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.76,0.66
15,0,15,2,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.76,0.66
15,0,15,3,1,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.76,0.66
15,0,15,4,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.76,0.66
15,0,15,5,1,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.76,0.66
15,0,15,6,0,uvfa,5,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.76,0.66
15,0,15,7,1,uvfa,12,0.0,True,False,0,1.0,0.0,0,False,0.0,0.0,0.0,6.0,0.76,0.66
