subject,block,trial,task,regret,mb_dist
0,0,0,0,4.0,0.0
0,0,1,1,4.0,1.0
0,0,2,2,4.0,2.0
0,0,3,3,32.0,4.0
0,0,4,0,2.0,0.0
0,0,5,1,6.0,1.0
0,0,6,2,4.0,2.0
0,0,7,3,20.0,4.0
0,0,8,0,10.0,0.0
0,0,9,1,2.0,1.0
0,0,10,2,8.0,2.0
0,0,11,3,32.0,4.0
0,0,12,0,4.0,0.0
0,0,13,1,12.0,1.0
0,0,14,2,12.0,2.0
0,0,15,3,8.0,4.0
0,0,16,0,2.0,0.0
0,0,17,1,2.0,1.0
0,0,18,2,4.0,2.0
0,0,19,3,6.0,4.0
0,0,20,0,2.0,0.0
0,0,21,1,2.0,1.0
0,0,22,2,6.0,2.0
0,0,23,3,14.0,4.0
0,0,24,0,10.0,0.0
0,0,25,1,4.0,1.0
0,0,26,2,4.0,2.0
0,0,27,3,34.0,4.0
0,0,28,0,2.0,0.0
0,0,29,1,2.0,1.0
0,0,30,2,6.0,2.0
0,0,31,3,6.0,4.0
0,0,32,0,2.0,0.0
0,0,33,1,12.0,1.0
0,0,34,2,4.0,2.0
0,0,35,3,2.0,4.0
0,0,36,0,2.0,0.0
0,0,37,1,2.0,1.0
0,0,38,2,4.0,2.0
0,0,39,3,6.0,4.0
0,0,40,0,2.0,0.0
0,0,41,1,2.0,1.0
0,0,42,2,4.0,2.0
0,0,43,3,8.0,4.0
0,0,44,0,4.0,0.0
0,0,45,1,2.0,1.0
0,0,46,2,4.0,2.0
0,0,47,3,8.0,4.0
0,0,48,0,2.0,0.0
0,0,49,1,10.0,1.0
0,0,50,2,10.0,2.0
0,0,51,3,12.0,4.0
0,0,52,0,2.0,0.0
0,0,53,1,4.0,1.0
0,0,54,2,4.0,2.0
0,0,55,3,2.0,4.0
0,0,56,0,2.0,0.0
0,0,57,1,2.0,1.0
0,0,58,2,4.0,2.0
0,0,59,3,2.0,4.0
0,0,60,0,10.0,0.0
0,0,61,1,6.0,1.0
0,0,62,2,8.0,2.0
0,0,63,3,4.0,4.0
0,0,64,0,2.0,0.0
0,0,65,1,2.0,1.0
0,0,66,2,4.0,2.0
0,0,67,3,10.0,4.0
0,0,68,0,2.0,0.0
0,0,69,1,2.0,1.0
0,0,70,2,8.0,2.0
0,0,71,3,10.0,4.0
0,0,72,0,2.0,0.0
0,0,73,1,10.0,1.0
0,0,74,2,6.0,2.0
0,0,75,3,2.0,4.0
0,0,76,0,2.0,0.0
0,0,77,1,2.0,1.0
0,0,78,2,10.0,2.0
0,0,79,3,6.0,4.0
0,0,80,0,2.0,0.0
0,0,81,1,2.0,1.0
0,0,82,2,4.0,2.0
0,0,83,3,2.0,4.0
0,0,84,0,2.0,0.0
0,0,85,1,8.0,1.0
0,0,86,2,4.0,2.0
0,0,87,3,2.0,4.0
0,0,88,0,2.0,0.0
0,0,89,1,2.0,1.0
0,0,90,2,4.0,2.0
0,0,91,3,8.0,4.0
0,0,92,0,2.0,0.0
0,0,93,1,2.0,1.0
0,0,94,2,4.0,2.0
0,0,95,3,6.0,4.0
0,0,96,0,2.0,0.0
0,0,97,1,8.0,1.0
0,0,98,2,6.0,2.0
0,0,99,3,10.0,4.0
0,1,0,0,16.0,3.0
0,1,1,1,44.0,4.0
0,1,2,2,6.0,0.0
0,1,3,3,12.0,3.0
0,1,4,0,14.0,3.0
0,1,5,1,54.0,4.0
0,1,6,2,4.0,0.0
0,1,7,3,70.0,3.0
0,1,8,0,16.0,3.0
0,1,9,1,52.0,4.0
0,1,10,2,4.0,0.0
0,1,11,3,2.0,3.0
0,1,12,0,2.0,3.0
0,1,13,1,34.0,4.0
0,1,14,2,10.0,0.0
0,1,15,3,4.0,3.0
0,1,16,0,10.0,3.0
0,1,17,1,8.0,4.0
0,1,18,2,66.0,0.0
0,1,19,3,2.0,3.0
0,1,20,0,16.0,3.0
0,1,21,1,8.0,4.0
0,1,22,2,2.0,0.0
0,1,23,3,2.0,3.0
0,1,24,0,8.0,3.0
0,1,25,1,8.0,4.0
0,1,26,2,4.0,0.0
0,1,27,3,12.0,3.0
0,1,28,0,2.0,3.0
0,1,29,1,54.0,4.0
0,1,30,2,46.0,0.0
0,1,31,3,4.0,3.0
0,1,32,0,2.0,3.0
0,1,33,1,56.0,4.0
0,1,34,2,20.0,0.0
0,1,35,3,6.0,3.0
0,1,36,0,16.0,3.0
0,1,37,1,24.0,4.0
0,1,38,2,4.0,0.0
0,1,39,3,2.0,3.0
0,1,40,0,4.0,3.0
0,1,41,1,18.0,4.0
0,1,42,2,4.0,0.0
0,1,43,3,16.0,3.0
0,1,44,0,2.0,3.0
0,1,45,1,4.0,4.0
0,1,46,2,2.0,0.0
0,1,47,3,4.0,3.0
0,1,48,0,4.0,3.0
0,1,49,1,16.0,4.0
0,1,50,2,110.0,0.0
0,1,51,3,4.0,3.0
0,1,52,0,4.0,3.0
0,1,53,1,58.0,4.0
0,1,54,2,4.0,0.0
0,1,55,3,4.0,3.0
0,1,56,0,2.0,3.0
0,1,57,1,80.0,4.0
0,1,58,2,184.0,0.0
0,1,59,3,8.0,3.0
0,1,60,0,6.0,3.0
0,1,61,1,30.0,4.0
0,1,62,2,138.0,0.0
0,1,63,3,2.0,3.0
0,1,64,0,4.0,3.0
0,1,65,1,12.0,4.0
0,1,66,2,26.0,0.0
0,1,67,3,2.0,3.0
0,1,68,0,4.0,3.0
0,1,69,1,12.0,4.0
0,1,70,2,500.0,0.0
0,1,71,3,4.0,3.0
0,1,72,0,16.0,3.0
0,1,73,1,22.0,4.0
0,1,74,2,4.0,0.0
0,1,75,3,4.0,3.0
0,1,76,0,8.0,3.0
0,1,77,1,16.0,4.0
0,1,78,2,276.0,0.0
0,1,79,3,6.0,3.0
0,1,80,0,4.0,3.0
0,1,81,1,52.0,4.0
0,1,82,2,6.0,0.0
0,1,83,3,2.0,3.0
0,1,84,0,10.0,3.0
0,1,85,1,12.0,4.0
0,1,86,2,186.0,0.0
0,1,87,3,2.0,3.0
0,1,88,0,4.0,3.0
0,1,89,1,12.0,4.0
0,1,90,2,282.0,0.0
0,1,91,3,2.0,3.0
0,1,92,0,2.0,3.0
0,1,93,1,6.0,4.0
0,1,94,2,390.0,0.0
0,1,95,3,2.0,3.0
0,1,96,0,2.0,3.0
0,1,97,1,8.0,4.0
0,1,98,2,138.0,0.0
0,1,99,3,2.0,3.0
0,2,0,0,14.0,5.0
0,2,1,1,4.0,0.0
0,2,2,2,50.0,2.0
0,2,3,3,20.0,6.0
0,2,4,0,18.0,5.0
0,2,5,1,2.0,0.0
0,2,6,2,2.0,2.0
