block,trial,reward,regret,sum_RT
0.0,0.0,-25.0,19.0,25.343672513961792
0.0,1.0,-18.0,11.0,20.858551502227783
0.0,2.0,-16.0,7.0,21.767796993255615
0.0,3.0,-32.0,26.0,32.05309748649597
0.0,4.0,-12.0,5.0,15.540860652923584
0.0,5.0,-20.0,11.0,27.3811616897583
0.0,6.0,-12.0,6.0,17.672702312469482
0.0,7.0,-12.0,5.0,16.914650201797485
0.0,8.0,-12.0,3.0,16.90254259109497
0.0,9.0,-12.0,6.0,19.014919757843018
0.0,10.0,-12.0,5.0,15.59967589378357
0.0,11.0,-8.0,-1.0,12.215025663375854
0.0,12.0,-12.0,6.0,15.885569095611572
0.0,13.0,-14.0,7.0,7.399601221084595
0.0,14.0,-10.0,1.0,10.39121127128601
1.0,15.0,-6.0,3.0,31.23011565208435
