subject,block,trial,trialblock,task,reward,regret,sf_path,mb_paths,mf_paths,mf_sim,mb_sim,p0_sim,p1_sim,p01_sim,sf_comp
0,0,0,0,0,0,0,3,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],1,1,3,3,3.0,True
0,0,0,0,0,0,0,3,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],1,1,3,3,3.0,True
0,0,1,1,1,0,0,3,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],1,1,3,3,3.0,True
0,0,1,1,1,0,0,3,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],1,1,3,3,3.0,True
0,0,2,2,0,0,0,1,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],2,3,3,3,3.0,True
0,0,2,2,0,0,0,1,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],2,3,3,3,3.0,True
0,0,3,3,1,0,0,2,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],1,2,3,3,3.0,True
0,0,3,3,1,0,0,2,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],1,2,3,3,3.0,True
0,0,4,4,0,0,0,7,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,4,4,0,0,0,7,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,5,5,1,0,0,5,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,5,5,1,0,0,5,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,6,6,0,0,0,1,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],2,3,3,3,3.0,True
0,0,6,6,0,0,0,1,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],2,3,3,3,3.0,True
0,0,7,7,1,0,0,7,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,7,7,1,0,0,7,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,8,8,0,0,0,6,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,8,8,0,0,0,6,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,0,3,3,3.0,True
0,0,9,9,1,0,0,2,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],1,2,3,3,3.0,True
0,0,9,9,1,0,0,2,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],1,2,3,3,3.0,True
0,0,10,10,0,0,0,4,[1 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 0],0,1,3,3,3.0,True
