subject,block,trial,trialblock,task,regret,sf_path,mf_paths,mb_paths,mf_sim,mb_sim,p0_sim,p1_sim,p01_sim,sf_comp
0,0,0,0,0,0.0,0,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 6 7],3,3,3,3,3.0,True
0,0,1,1,1,0.0,7,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 6 7],3,3,3,3,3.0,True
0,0,2,2,0,0.0,1,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 6 7],3,3,3,3,3.0,True
0,0,3,3,1,0.0,4,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 6 7],3,3,3,3,3.0,True
0,0,4,4,0,0.0,5,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 6 7],3,3,3,3,3.0,True
0,0,5,5,1,0.0,7,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 6 7],3,3,3,3,3.0,True
0,0,6,6,0,0.0,3,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 6 7],3,3,3,3,3.0,True
0,0,7,7,1,0.0,4,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 6 7],3,3,3,3,3.0,True
0,0,8,8,0,0.0,1,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 6 7],3,3,3,3,3.0,True
0,0,9,9,1,0.0,1,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 6 7],3,3,3,3,3.0,True
0,0,10,10,0,0.0,0,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 6 7],3,3,3,3,3.0,True
0,0,11,11,1,0.0,6,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 6 7],3,3,3,3,3.0,True
0,0,12,12,0,0.0,2,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 6 7],3,3,3,3,3.0,True
0,0,13,13,1,0.0,0,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 6 7],3,3,3,3,3.0,True
0,0,14,14,0,0.0,7,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 6 7],3,3,3,3,3.0,True
0,0,15,15,1,0.0,5,[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 6 7],3,3,3,3,3.0,True
